x_values,total_1,total_2,total_3
152,1162,1133,1125
153,1170,1133,1129
154,1178,1134,1133
155,1175,1130,1135
156,1173,1127,1130
157,1178,1133,1128
158,1176,1138,1128
159,1172,1137,1132
160,1178,1133,1139
161,1172,1133,1142
162,1167,1137,1143
163,1175,1137,1147
164,1181,1137,1151
165,1178,1137,1158
166,1185,1139,1164
167,1182,1145,1167
168,1190,1146,1166
169,1187,1145,1161
170,1189,1142,1162
171,1188,1142,1161
172,1183,1138,1164
173,1178,1140,1170
174,1186,1145,1165
175,1192,1150,1167
176,1199,1145,1163
177,1198,1150,1159
178,1194,1149,1163
179,1192,1153,1165
180,1190,1150,1170
181,1194,1156,1174
182,1189,1151,1170
183,1197,1153,1170
184,1201,1152,1173
185,1206,1157,1168
186,1203,1162,1167
187,1206,1168,1166
188,1200,1163,1161
189,1205,1166,1166
190,1212,1168,1162
191,1207,1165,1157
192,1201,1163,1163
193,1205,1161,1158
194,1203,1156,1153
195,1198,1160,1160
196,1202,1159,1165
197,1198,1165,1161
198,1196,1160,1164
199,1199,1157,1162
200,1199,1154,1158
201,1196,1158,1163
202,1194,1163,1158
203,1201,1168,1153
204,1208,1168,1158
205,1211,1164,1158
206,1208,1168,1163
207,1210,1165,1164
208,1210,1164,1163
209,1214,1164,1166
210,1216,1161,1167
211,1212,1158,1169
212,1209,1162,1167
213,1214,1167,1174
214,1216,1166,1171
215,1223,1167,1170
216,1230,1165,1165
217,1226,1162,1163
218,1228,1158,1169
219,1231,1164,1170
220,1226,1161,1165
221,1231,1166,1163
222,1238,1167,1167
223,1233,1170,1162
224,1230,1172,1163
225,1236,1177,1160
226,1240,1179,1166
227,1234,1182,1171
228,1236,1185,1176
229,1237,1184,1172
230,1241,1179,1167
231,1247,1175,1168
232,1244,1172,1168
233,1250,1176,1165
234,1256,1179,1163
235,1254,1174,1161
236,1254,1180,1168
237,1253,1180,1170
238,1256,1179,1165
239,1261,1182,1168
240,1259,1187,1172
241,1259,1188,1170
242,1255,1191,1171
243,1258,1197,1167
244,1252,1197,1163
245,1248,1198,1162
246,1255,1195,1166
247,1253,1190,1172
248,1257,1186,1169
249,1264,1181,1175
250,1259,1183,1177
251,1265,1189,1182
252,1268,1190,1180
253,1268,1195,1183
254,1266,1197,1188
255,1268,1201,1187
256,1272,1200,1186
257,1268,1205,1182
258,1270,1211,1186
259,1275,1208,1192
260,1269,1211,1189
261,1272,1208,1189
262,1276,1203,1193
263,1276,1201,1189
264,1272,1198,1188
265,1278,1193,1184
266,1286,1194,1184
267,1289,1191,1183
268,1292,1197,1188
269,1291,1202,1183
270,1288,1197,1184
271,1287,1195,1188
272,1285,1192,1189
273,1289,1193,1195
274,1288,1194,1190
275,1283,1192,1196
276,1279,1188,1194
277,1277,1183,1190
278,1285,1181,1190
279,1293,1177,1188
280,1300,1183,1184
281,1300,1183,1187
282,1299,1186,1186
283,1306,1188,1181
284,1310,1193,1180
285,1308,1195,1181
286,1313,1195,1180
287,1308,1198,1182
288,1302,1198,1178
289,1309,1204,1178
290,1316,1209,1174
291,1321,1213,1171
292,1316,1209,1172
293,1311,1205,1167
294,1311,1204,1169
295,1306,1202,1172
296,1310,1200,1174
297,1310,1199,1179
298,1315,1198,1180
299,1319,1194,1179
300,1322,1195,1178
301,1319,1194,1175
302,1319,1192,1171
303,1317,1195,1177
304,1311,1199,1175
305,1315,1194,1170
306,1316,1190,1165
307,1316,1193,1164
308,1315,1189,1171
309,1320,1184,1176
310,1327,1186,1175
311,1323,1189,1178
312,1321,1191,1180
313,1329,1194,1176
314,1332,1189,1179
315,1339,1195,1177
316,1339,1198,1174
317,1347,1193,1181
318,1347,1190,1178
319,1343,1193,1183
320,1347,1188,1183
321,1353,1189,1181
322,1347,1195,1179
323,1348,1190,1175
324,1346,1190,1170
325,1340,1185,1176
326,1342,1189,1175
327,1341,1187,1178
328,1339,1189,1173
329,1341,1185,1168
330,1337,1186,1169
331,1331,1181,1173
332,1339,1182,1173
333,1340,1188,1171
334,1342,1193,1170
335,1342,1189,1167
336,1340,1193,1169
337,1337,1190,1172
338,1341,1186,1168
339,1349,1192,1166
340,1345,1195,1163
341,1340,1191,1170
342,1344,1187,1174
343,1351,1189,1173
344,1351,1193,1174
345,1346,1189,1177
346,1343,1187,1181
347,1338,1188,1185
348,1334,1189,1181
349,1329,1194,1183
350,1330,1189,1188
351,1328,1195,1187
352,1329,1190,1182
353,1331,1186,1188
354,1325,1181,1190
355,1329,1183,1189
356,1327,1187,1193
357,1322,1182,1195
358,1330,1180,1202
359,1327,1180,1204
360,1327,1175,1202
361,1330,1181,1208
362,1328,1186,1207
363,1327,1189,1202
364,1333,1185,1206
365,1330,1190,1211
366,1329,1191,1217
367,1325,1186,1221
368,1325,1189,1216
369,1326,1195,1216
370,1332,1191,1220
371,1328,1196,1217
372,1323,1197,1213
373,1329,1192,1220
374,1331,1197,1223
375,1332,1200,1222
376,1340,1195,1220
377,1346,1194,1225
378,1346,1195,1228
379,1353,1195,1227
380,1358,1190,1223
381,1353,1196,1222
382,1349,1197,1217
383,1344,1194,1216
384,1344,1193,1221
385,1340,1199,1228
386,1334,1196,1234
387,1340,1192,1241
388,1338,1191,1247
389,1341,1189,1254
390,1335,1184,1260
391,1332,1180,1267
392,1334,1180,1274
393,1336,1179,1276
394,1342,1176,1274
395,1349,1181,1277
396,1357,1181,1280
397,1359,1178,1287
398,1364,1178,1289
399,1367,1181,1290
400,1367,1176,1296
401,1374,1177,1299
402,1374,1180,1297
403,1379,1175,1297
404,1382,1174,1300
405,1383,1170,1307
406,1382,1166,1304
407,1379,1163,1311
408,1379,1158,1308
409,1377,1163,1314
410,1376,1167,1315
411,1374,1166,1321
412,1368,1161,1318
413,1369,1165,1320
414,1374,1169,1319
415,1381,1166,1323
416,1384,1169,1322
417,1389,1165,1329
418,1383,1170,1326
419,1389,1168,1329
420,1387,1173,1327
421,1383,1172,1324
422,1378,1168,1323
423,1375,1167,1320
424,1376,1167,1318
425,1383,1164,1319
426,1381,1167,1324
427,1378,1171,1328
428,1382,1174,1330
429,1389,1180,1332
430,1391,1177,1332
431,1397,1182,1334
432,1402,1187,1336
433,1406,1192,1337
434,1404,1193,1339
435,1399,1193,1343
436,1393,1196,1350
437,1389,1196,1357
438,1393,1191,1360
439,1391,1190,1367
440,1394,1189,1364
441,1393,1190,1371
442,1389,1194,1371
443,1395,1194,1377
444,1396,1189,1375
445,1398,1185,1382
446,1400,1183,1389
447,1400,1179,1389
448,1408,1175,1394
449,1411,1177,1398
450,1415,1177,1398
451,1414,1180,1394
452,1412,1177,1397
453,1411,1181,1404
454,1406,1181,1408
455,1412,1185,1411
456,1412,1182,1409
457,1411,1187,1414
458,1416,1188,1410
459,1411,1189,1417
460,1419,1193,1419
461,1417,1192,1425
462,1414,1192,1426
463,1418,1188,1429
464,1416,1194,1424
465,1414,1195,1431
466,1417,1195,1436
467,1421,1201,1440
468,1416,1204,1436
469,1414,1205,1440
470,1422,1211,1438
471,1417,1214,1441
472,1420,1218,1440
473,1414,1223,1439
474,1415,1221,1439
475,1421,1226,1444
476,1429,1224,1447
477,1424,1230,1446
478,1420,1234,1444
479,1421,1238,1446
480,1427,1240,1445
481,1432,1243,1448
482,1436,1245,1452
483,1434,1245,1451
484,1431,1241,1456
485,1425,1239,1452
486,1431,1235,1451
487,1433,1239,1448
488,1429,1242,1451
489,1426,1247,1453
490,1430,1251,1453
491,1433,1249,1452
492,1429,1247,1458
493,1437,1253,1464
494,1437,1249,1459
495,1434,1254,1457
496,1436,1260,1459
497,1439,1260,1464
498,1442,1255,1469
499,1441,1252,1476
500,1443,1257,1474
501,1439,1259,1481
502,1439,1263,1487
503,1445,1258,1494
504,1449,1259,1497
505,1449,1257,1497
506,1448,1254,1498
507,1453,1249,1494
508,1460,1252,1499
509,1455,1255,1499
510,1460,1261,1495
511,1458,1258,1493
512,1456,1258,1492
513,1451,1259,1490
514,1458,1260,1491
515,1456,1259,1492
516,1462,1264,1489
517,1463,1263,1490
518,1461,1269,1487
519,1469,1266,1489
520,1469,1262,1491
521,1465,1262,1496
522,1465,1264,1491
523,1468,1270,1494
524,1471,1267,1497
525,1467,1263,1500
526,1473,1269,1503
527,1472,1273,1500
528,1479,1269,1504
529,1483,1270,1509
530,1483,1271,1512
531,1489,1274,1518
532,1489,1271,1518
533,1490,1275,1514
534,1496,1271,1519
535,1503,1268,1521
536,1497,1263,1517
537,1500,1262,1520
538,1495,1260,1522
539,1499,1260,1525
540,1506,1264,1523
541,1505,1269,1523
542,1506,1274,1529
543,1509,1275,1527
544,1506,1280,1529
545,1508,1284,1536
546,1508,1284,1542
547,1502,1287,1545
548,1507,1290,1549
549,1508,1291,1550
550,1509,1287,1551
551,1503,1284,1553
552,1510,1289,1560
553,1507,1295,1566
554,1509,1298,1562
555,1513,1304,1566
556,1516,1307,1571
557,1520,1313,1573
558,1526,1319,1575
559,1534,1316,1570
560,1541,1320,1577
561,1537,1319,1577
562,1540,1318,1574
563,1538,1321,1573
564,1541,1325,1571
565,1543,1327,1569
566,1545,1330,1564
567,1544,1332,1560
568,1550,1330,1557
569,1549,1334,1555
570,1556,1330,1560
571,1562,1327,1558
572,1562,1329,1560
573,1564,1330,1556
574,1561,1326,1551
575,1567,1322,1550
576,1575,1323,1548
577,1583,1318,1552
578,1589,1313,1558
579,1591,1310,1554
580,1588,1314,1559
581,1589,1317,1560
582,1595,1316,1562
583,1598,1320,1558
584,1602,1325,1562
585,1605,1328,1564
586,1605,1331,1566
587,1611,1335,1564
588,1618,1331,1560
589,1621,1328,1555
590,1617,1331,1554
591,1619,1331,1558
592,1625,1334,1554
593,1626,1333,1561
594,1628,1332,1565
595,1628,1327,1563
596,1628,1329,1567
597,1623,1327,1574
598,1624,1326,1574
599,1620,1329,1581
600,1626,1328,1586
601,1622,1325,1587
602,1628,1320,1584
603,1635,1318,1590
604,1634,1318,1593
605,1639,1322,1598
606,1636,1324,1597
607,1642,1321,1600
608,1650,1318,1603
609,1654,1324,1598
610,1660,1319,1604
611,1660,1321,1603
612,1665,1324,1610
613,1669,1328,1615
614,1669,1334,1619
615,1668,1330,1618
616,1670,1333,1615
617,1665,1339,1610
618,1659,1334,1614
619,1661,1334,1614
620,1660,1337,1615
621,1664,1335,1611
622,1659,1333,1607
623,1662,1339,1613
624,1664,1345,1608
625,1664,1351,1614
626,1672,1354,1615
627,1667,1353,1622
628,1669,1357,1620
629,1670,1360,1616
630,1678,1362,1614
631,1683,1363,1610
632,1691,1360,1612
633,1686,1361,1613
634,1689,1364,1609
635,1686,1364,1604
636,1691,1366,1610
637,1688,1366,1611
638,1692,1367,1609
639,1696,1372,1612
640,1695,1369,1617
641,1698,1371,1613
642,1705,1373,1611
643,1710,1374,1610
644,1713,1371,1616
645,1718,1366,1615
646,1725,1364,1613
647,1731,1369,1615
648,1726,1364,1612
649,1726,1368,1618
650,1722,1374,1620
651,1730,1375,1626
652,1734,1377,1632
653,1734,1382,1631
654,1730,1377,1626
655,1728,1383,1624
656,1728,1378,1629
657,1735,1373,1633
658,1741,1379,1637
659,1749,1378,1644
660,1757,1374,1649
661,1756,1375,1654
662,1750,1371,1651
663,1748,1368,1651
664,1749,1364,1652
665,1745,1365,1659
666,1741,1367,1663
667,1738,1371,1662
668,1739,1377,1660
669,1742,1372,1663
670,1736,1372,1666
671,1744,1368,1671
672,1750,1364,1666
673,1753,1370,1666
674,1751,1372,1663
675,1748,1372,1659
676,1752,1376,1663
677,1747,1382,1667
678,1741,1377,1673
679,1742,1382,1679
680,1747,1384,1674
681,1741,1390,1670
682,1744,1388,1673
683,1739,1394,1672
684,1746,1399,1677
685,1745,1395,1675
686,1750,1395,1672
687,1758,1394,1679
688,1763,1397,1674
689,1760,1400,1670
690,1762,1403,1667
691,1761,1409,1669
692,1758,1405,1668
693,1754,1402,1672
694,1761,1405,1667
695,1768,1404,1664
696,1766,1404,1670
697,1769,1406,1670
698,1773,1401,1666
699,1777,1397,1669
700,1783,1400,1666
701,1782,1406,1667
702,1776,1411,1668
703,1775,1408,1663
704,1778,1408,1660
705,1786,1405,1656
706,1791,1404,1658
707,1792,1401,1660
708,1792,1396,1663
709,1789,1398,1664
710,1790,1396,1666
711,1784,1396,1666
712,1792,1396,1672
713,1797,1391,1673
714,1794,1388,1668
715,1798,1383,1673
716,1794,1381,1676
717,1788,1385,1680
718,1788,1389,1682
719,1792,1386,1678
720,1796,1388,1674
721,1793,1394,1675
722,1790,1400,1675
723,1790,1403,1681
724,1791,1406,1688
725,1795,1412,1691
726,1792,1410,1688
727,1791,1411,1685
728,1787,1407,1692
729,1787,1406,1689
730,1791,1406,1694
731,1789,1412,1697
732,1788,1418,1695
733,1791,1420,1691
734,1797,1418,1694
735,1804,1419,1693
736,1810,1419,1688
737,1817,1418,1694
738,1813,1417,1691
739,1812,1423,1686
740,1812,1427,1683
741,1816,1425,1690
742,1816,1429,1693
743,1816,1428,1689
744,1817,1425,1684
745,1819,1430,1680
746,1820,1431,1680
747,1822,1430,1681
748,1828,1435,1684
749,1830,1433,1687
750,1832,1431,1689
751,1835,1431,1690
752,1829,1427,1688
753,1823,1428,1690
754,1825,1434,1688
755,1832,1439,1695
756,1830,1439,1695
757,1838,1438,1691
758,1841,1440,1695
759,1849,1442,1694
760,1845,1442,1698
761,1849,1444,1700
762,1856,1442,1700
763,1857,1438,1703
764,1853,1439,1699
765,1860,1440,1695
766,1861,1436,1696
767,1859,1440,1694
768,1867,1440,1692
769,1865,1435,1698
770,1862,1440,1700
771,1858,1446,1695
772,1858,1452,1696
773,1866,1456,1692
774,1869,1454,1690
775,1870,1453,1697
776,1870,1452,1703
777,1877,1456,1703
778,1876,1454,1707
779,1873,1457,1712
780,1875,1461,1719
781,1874,1460,1717
782,1872,1460,1722
783,1870,1466,1720
784,1877,1461,1723
785,1871,1459,1718
786,1878,1463,1724
787,1879,1469,1731
788,1884,1474,1737
789,1883,1469,1733
790,1883,1464,1734
791,1877,1468,1737
792,1871,1467,1740
793,1868,1464,1736
794,1873,1462,1731
795,1879,1462,1735
796,1886,1463,1742
797,1888,1464,1748
798,1884,1464,1753
799,1889,1459,1751
800,1884,1460,1749
801,1886,1465,1749
802,1891,1467,1755
803,1888,1466,1754
804,1896,1467,1754
805,1892,1472,1752
806,1893,1470,1753
807,1892,1465,1756
808,1895,1465,1756
809,1898,1461,1753
810,1892,1465,1759
811,1894,1464,1759
812,1894,1462,1758
813,1888,1466,1763
814,1887,1463,1768
815,1886,1468,1770
816,1893,1474,1773
817,1895,1473,1780
818,1898,1468,1776
819,1894,1474,1775
820,1897,1472,1780
821,1898,1474,1785
822,1904,1475,1788
823,1910,1476,1787
824,1911,1473,1793
825,1916,1474,1791
826,1913,1470,1788
827,1912,1469,1788
828,1911,1465,1783
829,1918,1470,1784
830,1920,1466,1787
831,1925,1466,1783
832,1927,1464,1782
833,1924,1469,1781
834,1921,1475,1778
835,1928,1474,1775
836,1925,1475,1782
837,1922,1477,1786
838,1917,1475,1782
839,1916,1470,1778
840,1919,1467,1780
841,1922,1469,1787
842,1919,1469,1792
843,1924,1470,1793
844,1927,1465,1800
845,1935,1471,1800
846,1935,1471,1804
847,1932,1466,1805
848,1931,1469,1812
849,1938,1467,1807
850,1940,1465,1811
851,1936,1462,1818
852,1935,1458,1821
853,1943,1461,1823
854,1944,1462,1821
855,1946,1464,1818
856,1950,1464,1818
857,1948,1464,1816
858,1950,1462,1821
859,1947,1457,1818
860,1946,1456,1822
861,1950,1457,1820
862,1955,1454,1816
863,1963,1454,1812
864,1964,1459,1810
865,1960,1461,1808
866,1954,1463,1803
867,1954,1458,1807
868,1954,1464,1814
869,1952,1467,1815
870,1959,1472,1819
871,1956,1476,1814
872,1962,1480,1810
873,1956,1480,1810
874,1956,1478,1815
875,1960,1478,1813
876,1966,1483,1809
877,1961,1486,1807
878,1967,1484,1810
879,1970,1481,1807
880,1972,1481,1802
881,1972,1481,1801
882,1970,1477,1799
883,1977,1474,1803
884,1980,1475,1800
885,1976,1478,1796
886,1977,1479,1795
887,1980,1474,1799
888,1975,1476,1795
889,1976,1475,1796
890,1973,1472,1802
891,1970,1470,1807
892,1969,1471,1810
893,1968,1477,1809
894,1973,1472,1808
895,1972,1468,1805
896,1967,1474,1811
897,1975,1476,1809
898,1977,1475,1808
899,1971,1479,1813
900,1968,1475,1819
901,1970,1477,1821
902,1971,1475,1816
903,1965,1477,1820
904,1971,1479,1821
905,1968,1479,1824
906,1974,1478,1827
907,1975,1482,1827
908,1972,1477,1828
909,1978,1473,1827
910,1978,1476,1834
911,1984,1475,1834
912,1979,1481,1840
913,1980,1476,1843
914,1975,1480,1848
915,1973,1478,1854
916,1976,1483,1859
917,1975,1487,1858
918,1978,1486,1856
919,1976,1492,1856
920,1982,1494,1858
921,1976,1496,1859
922,1971,1500,1864
923,1970,1502,1860
924,1978,1506,1861
925,1984,1510,1861
926,1985,1507,1858
927,1983,1504,1853
928,1980,1507,1853
929,1979,1513,1856
930,1981,1519,1860
931,1977,1516,1859
932,1983,1521,1864
933,1991,1523,1865
934,1993,1522,1866
935,1996,1519,1871
936,1990,1516,1867
937,1993,1519,1866
938,2001,1520,1871
939,1997,1525,1878
940,1993,1520,1879
941,1990,1523,1877
942,1994,1529,1876
943,1990,1535,1882
944,1986,1540,1889
945,1984,1538,1886
946,1978,1533,1883
947,1983,1538,1880
948,1980,1533,1878
949,1985,1538,1874
950,1981,1535,1877
951,1987,1530,1876
952,1986,1530,1877
953,1987,1536,1876
954,1983,1538,1871
955,1990,1543,1871
956,1985,1542,1866
957,1981,1547,1864
958,1979,1552,1860
959,1975,1554,1858
960,1974,1558,1863
961,1970,1564,1868
962,1977,1560,1871
963,1983,1566,1873
964,1985,1569,1870
965,1983,1565,1870
966,1982,1562,1873
967,1979,1562,1874
968,1976,1562,1872
969,1970,1557,1868
970,1964,1555,1870
971,1967,1555,1872
972,1972,1559,1877
973,1970,1563,1883
974,1976,1558,1887
975,1982,1564,1894
976,1985,1566,1892
977,1989,1562,1897
978,1990,1565,1900
979,1988,1564,1896
980,1993,1567,1899
981,1993,1571,1900
982,1997,1576,1903
983,2005,1582,1907
984,2006,1583,1907
985,2000,1579,1912
986,2005,1581,1914
987,2007,1582,1918
988,2010,1583,1917
989,2009,1583,1916
990,2007,1585,1913
991,2006,1586,1910
992,2008,1590,1906
993,2010,1592,1909
994,2012,1597,1914
995,2017,1602,1911
996,2021,1600,1912
997,2025,1598,1911
998,2021,1593,1917
999,2020,1597,1920
1000,2014,1597,1927
1001,2020,1601,1929
1002,2027,1607,1931
1003,2023,1607,1932
1004,2024,1603,1929
1005,2031,1599,1930
1006,2027,1598,1935
1007,2031,1594,1934
1008,2036,1598,1932
1009,2030,1593,1934
1010,2036,1593,1934
1011,2039,1594,1930
1012,2043,1594,1933
1013,2045,1589,1931
1014,2043,1585,1937
1015,2039,1583,1935
1016,2034,1582,1942
1017,2034,1584,1944
1018,2036,1584,1943
1019,2037,1583,1939
1020,2044,1587,1934
1021,2041,1593,1937
1022,2037,1592,1935
1023,2031,1596,1930
1024,2037,1602,1926
1025,2032,1604,1926
1026,2039,1599,1921
1027,2038,1601,1916
1028,2040,1606,1919
1029,2045,1607,1920
1030,2050,1603,1915
1031,2058,1603,1922
1032,2063,1608,1918
1033,2070,1611,1914
1034,2071,1606,1911
1035,2066,1604,1909
1036,2061,1601,1910
1037,2060,1602,1916
1038,2067,1601,1921
1039,2071,1607,1924
1040,2076,1602,1929
1041,2084,1604,1927
1042,2089,1599,1931
1043,2093,1595,1938
1044,2090,1599,1935
1045,2092,1594,1930
1046,2088,1594,1925
1047,2095,1589,1927
1048,2093,1587,1925
1049,2101,1586,1930
1050,2109,1581,1928
1051,2108,1586,1923
1052,2114,1589,1926
1053,2117,1592,1925
1054,2119,1592,1931
1055,2117,1590,1938
1056,2119,1587,1933
1057,2127,1588,1938
1058,2124,1593,1934
1059,2120,1592,1938
1060,2123,1596,1938
1061,2130,1600,1939
1062,2136,1605,1937
1063,2136,1604,1940
1064,2134,1599,1941
1065,2139,1604,1947
1066,2135,1602,1942
1067,2130,1598,1938
1068,2131,1598,1945
1069,2129,1601,1949
1070,2131,1601,1950
1071,2127,1598,1945
1072,2133,1595,1948
1073,2134,1590,1947
1074,2140,1594,1948
1075,2142,1597,1950
1076,2145,1595,1955
1077,2145,1594,1956
1078,2139,1598,1958
1079,2133,1600,1955
1080,2127,1602,1950
1081,2131,1597,1948
1082,2130,1603,1948
1083,2130,1598,1953
1084,2138,1595,1956
1085,2146,1599,1959
1086,2145,1596,1964
1087,2150,1591,1963
1088,2146,1597,1958
1089,2149,1603,1965
1090,2157,1608,1971
1091,2151,1610,1974
1092,2150,1609,1971
1093,2148,1604,1978
1094,2144,1607,1977
1095,2141,1608,1981
1096,2141,1612,1983
1097,2141,1607,1989
1098,2144,1604,1988
1099,2150,1600,1990
1100,2150,1605,1990
1101,2151,1607,1989
1102,2145,1608,1985
1103,2139,1611,1992
1104,2147,1606,1989
1105,2142,1606,1985
1106,2147,1612,1989
1107,2150,1618,1988
1108,2145,1617,1986
1109,2153,1615,1987
1110,2147,1611,1985
1111,2143,1617,1981
1112,2144,1622,1988
1113,2146,1620,1989
1114,2145,1619,1986
1115,2152,1625,1987
1116,2149,1623,1988
1117,2149,1623,1989
1118,2143,1618,1986
1119,2150,1618,1992
1120,2156,1614,1992
1121,2164,1615,1999
1122,2165,1617,2001
1123,2159,1619,1997
1124,2161,1618,1995
1125,2157,1622,1998
1126,2153,1625,1999
1127,2148,1625,2003
1128,2154,1623,2010
1129,2148,1627,2010
1130,2148,1627,2007
1131,2144,1624,2004
1132,2143,1621,2006
1133,2143,1618,2001
1134,2145,1616,2001
1135,2144,1612,2004
1136,2152,1607,2006
1137,2148,1611,2010
1138,2156,1608,2017
1139,2161,1607,2019
1140,2167,1608,2021
1141,2168,1606,2018
1142,2174,1611,2017
1143,2177,1615,2019
1144,2174,1617,2021
1145,2175,1617,2025
1146,2175,1613,2025
1147,2169,1617,2021
1148,2176,1617,2021
1149,2173,1617,2027
1150,2175,1616,2023
1151,2169,1616,2023
1152,2175,1611,2027
1153,2177,1615,2028
1154,2180,1617,2029
1155,2180,1615,2035
1156,2181,1615,2036
1157,2180,1615,2033
1158,2186,1618,2040
1159,2188,1613,2035
1160,2186,1616,2037
1161,2181,1615,2044
1162,2185,1621,2041
1163,2188,1626,2038
1164,2184,1626,2043
1165,2192,1621,2043
1166,2194,1620,2043
1167,2202,1619,2046
1168,2207,1624,2047
1169,2214,1625,2048
1170,2214,1631,2052
1171,2220,1629,2049
1172,2222,1634,2054
1173,2221,1631,2053
1174,2217,1632,2048
1175,2211,1633,2045
1176,2216,1637,2049
1177,2215,1632,2055
1178,2214,1631,2051
1179,2214,1637,2054
1180,2216,1643,2059
1181,2212,1640,2055
1182,2213,1640,2056
1183,2215,1636,2057
1184,2213,1640,2055
1185,2216,1644,2061
1186,2221,1650,2056
1187,2219,1646,2057
1188,2227,1650,2061
1189,2233,1656,2064
1190,2232,1660,2065
1191,2234,1662,2062
1192,2241,1659,2068
1193,2240,1660,2072
1194,2237,1659,2076
1195,2243,1654,2074
1196,2239,1660,2077
1197,2241,1659,2073
1198,2240,1655,2073
1199,2238,1661,2071
1200,2233,1662,2075
1201,2231,1658,2079
1202,2233,1658,2076
1203,2239,1658,2072
1204,2238,1663,2079
1205,2241,1660,2080
1206,2237,1655,2085
1207,2235,1650,2091
1208,2230,1650,2095
1209,2237,1650,2097
1210,2241,1650,2101
1211,2245,1651,2105
1212,2241,1646,2112
1213,2237,1649,2107
1214,2238,1648,2111
1215,2239,1654,2115
1216,2247,1659,2116
1217,2243,1665,2119
1218,2243,1661,2119
1219,2237,1657,2115
1220,2243,1653,2120
1221,2247,1648,2124
1222,2244,1645,2121
1223,2241,1647,2124
1224,2237,1649,2131
1225,2244,1651,2130
1226,2243,1650,2133
1227,2249,1655,2134
1228,2253,1653,2129
1229,2254,1658,2131
1230,2260,1664,2134
1231,2256,1669,2141
1232,2263,1671,2145
1233,2258,1676,2152
1234,2260,1672,2155
1235,2265,1675,2152
1236,2270,1675,2151
1237,2274,1675,2147
1238,2277,1680,2142
1239,2285,1686,2137
1240,2291,1691,2142
1241,2299,1688,2145
1242,2300,1686,2140
1243,2304,1682,2140
1244,2307,1679,2140
1245,2306,1680,2136
1246,2304,1678,2134
1247,2309,1681,2132
1248,2304,1683,2134
1249,2301,1680,2129
1250,2295,1681,2127
